Time Stamp, SMPFLW-AVG (cc/m), O3FLOW-AVG (cc/m), RCPRES-AVG (InHg), SMPPRS-AVG (InHg), RCTEMP-AVG (DegC), PMTTMP-AVG (DegC), CNVTMP-AVG (DegC), BOXTMP-AVG (DegC), AZERO-AVG (mV), HVPS-AVG (Volts)
01/17/2023 00:00:02,     898.45,      80.57,       8.54,      27.38,      40.00,       4.87,     312.49,      31.75,      24.00,      479.3
01/18/2023 00:00:01,     890.20,      80.09,       8.48,      27.13,      40.00,       4.84,     315.45,      32.08,      14.12,      479.2
01/19/2023 00:00:01,     898.25,      80.75,       8.57,      27.39,      40.00,       4.85,     315.40,      32.02,      12.99,      479.2
01/20/2023 00:00:01,     888.04,      17.72,       0.60,       4.69,     -15.21,      28.30,      68.05,     -17.06,       3.54,      106.5
01/21/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.62,        0.0
01/22/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.62,        0.0
01/30/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.62,        0.0
01/31/2023 00:00:01,     902.35,      81.18,       9.15,      27.50,      40.00,       4.85,     315.55,      32.21,      10.80,      479.2
02/01/2023 00:00:01,     905.52,      81.15,      11.02,      27.59,      39.99,       4.86,     314.98,      32.16,      10.80,      479.3
02/02/2023 00:00:01,     911.94,      81.50,       8.40,      27.79,      40.00,       4.85,     315.43,      32.55,      10.70,      479.3
02/03/2023 00:00:01,     902.50,      80.87,       8.29,      27.50,      40.00,       4.85,     315.59,      32.21,      10.98,      479.3
02/04/2023 00:00:01,     910.56,      81.55,       8.58,      27.75,      40.00,       4.86,     315.53,      32.21,      11.50,      479.2
02/05/2023 00:00:01,     912.41,      81.77,       7.91,      27.80,      40.00,       4.87,     315.64,      31.16,      12.74,      479.2
02/06/2023 00:00:01,     903.64,      80.99,       7.69,      27.54,      40.00,       4.85,     315.54,      31.77,      10.45,      479.2
02/07/2023 00:00:01,     902.99,      81.36,       7.67,      27.52,      40.00,       4.85,     315.34,      31.94,      10.20,      479.2
02/08/2023 00:00:01,     899.96,      81.19,       7.61,      27.43,      40.00,       4.85,     315.66,      32.06,      10.74,      479.2
02/09/2023 00:00:01,     889.33,       1.84,      -1.49,      -1.05,     -29.36,      34.31,       6.38,     -29.54,       2.22,       10.9
02/10/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.22,        0.0
02/11/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.22,        0.0
02/12/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       2.22,        0.0
02/13/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,       5.58,        0.0
02/24/2023 00:00:01,       0.00,      81.26,       7.45,       7.44,      40.00,       4.84,     315.40,      32.54,      12.87,      479.3
02/25/2023 00:00:01,     907.74,      82.18,       8.43,      17.70,      40.00,       4.85,     315.56,      31.80,      12.89,      479.2
02/26/2023 00:00:01,     904.71,      81.43,       9.22,      27.57,      40.00,       4.85,     315.50,      32.16,      14.16,      479.3
02/27/2023 00:00:01,     896.00,      80.91,       9.04,      27.30,      40.00,       4.84,     315.43,      32.61,      12.24,      479.3
02/28/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/01/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/02/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/03/2023 00:00:02,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.98,      11.50,        0.0
03/04/2023 00:00:02,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/05/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/06/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/07/2023 00:00:01,       0.00,       0.00,      -1.70,      -1.70,     -30.97,      35.00,       0.00,     -30.97,      11.50,        0.0
03/25/2023 00:00:01,     900.41,      81.23,       6.15,      26.50,      39.99,       4.90,     315.61,      31.24,      14.98,      479.3
03/26/2023 00:00:01,     890.74,      80.53,       6.09,      27.14,      40.00,       4.89,     315.57,      31.90,      15.03,      479.3
03/27/2023 00:00:01,     899.54,      81.35,       6.38,      27.41,      40.00,       4.89,     315.52,      31.66,      14.44,      479.3
03/28/2023 00:00:02,     899.17,      81.31,       6.24,      27.40,      40.00,       4.90,     315.57,      31.45,      14.58,      479.3
03/29/2023 00:00:01,     903.29,      81.70,       6.40,      27.53,      40.00,       4.91,     315.43,      30.91,      12.95,      479.3
03/30/2023 00:00:01,     904.21,      81.69,       6.49,      27.55,      40.00,       4.91,     315.54,      31.29,      12.67,      479.3
03/31/2023 00:00:01,     914.44,      81.96,       6.34,      27.87,      40.00,       4.91,     315.54,      31.18,      12.43,      479.3
04/01/2023 00:00:01,     896.21,      81.13,       6.41,      27.31,      40.00,       4.91,     315.51,      31.52,      14.40,      479.3
04/02/2023 00:00:01,     887.89,      80.42,       6.18,      27.06,      40.00,       4.89,     315.50,      32.45,      11.61,      479.3
04/03/2023 00:00:02,     900.08,      81.37,       6.31,      27.43,      40.00,       4.90,     315.45,      31.77,      11.24,      479.3
04/04/2023 00:00:01,     896.86,      81.04,       6.29,      27.33,      40.00,       4.91,     315.60,      31.60,      11.57,      479.2
04/05/2023 00:00:01,     898.18,      81.15,       6.26,      27.37,      40.00,       4.90,     315.55,      31.84,      11.05,      479.3
04/06/2023 00:00:01,     902.03,      81.17,       6.29,      27.49,      40.00,       4.90,     315.60,      32.09,      12.21,      479.3
04/07/2023 00:00:01,     908.52,      81.87,       6.48,      27.69,      40.00,       4.90,     315.66,      32.12,      10.69,      479.3
04/08/2023 00:00:01,     914.60,      82.26,       6.60,      27.87,      40.00,       4.90,     315.68,      31.67,      10.52,      479.3
04/09/2023 00:00:01,     914.98,      82.17,       6.47,      27.88,      40.00,       4.89,     315.35,      32.18,      10.49,      479.3
04/10/2023 00:00:01,     910.94,      82.17,       6.51,      27.76,      40.00,       4.89,     315.46,      32.07,      10.53,      479.3
04/11/2023 00:00:01,     911.04,      82.02,       6.35,      27.76,      40.00,       4.90,     315.65,      31.86,      12.71,      479.3
04/12/2023 00:00:01,     902.93,      81.63,       6.30,      27.52,      40.00,       4.89,     315.24,      32.08,      17.45,      479.3
04/13/2023 00:00:01,     900.22,      81.25,       6.27,      27.43,      40.00,       4.89,     315.70,      32.28,      10.30,      479.3
04/14/2023 00:00:01,     896.46,      81.08,       6.13,      27.32,      40.00,       4.88,     315.66,      32.75,      11.00,      479.3
04/15/2023 00:00:01,     898.84,      80.89,       6.23,      27.39,      40.00,       4.88,     315.40,      32.75,      11.74,      479.3
04/16/2023 00:00:01,     895.45,      80.78,       6.21,      27.29,      40.00,       4.86,     315.50,      34.14,      10.49,      479.3
04/17/2023 00:00:01,     890.28,      80.56,       6.08,      27.13,      40.00,       4.86,     315.46,      34.16,      10.44,      479.4
